input,target
The company was proud of it's achievements and shared them with the public.,The company was proud of its achievements and shared them with the public.
The flowers is blooming in spring.,The flowers bloom in spring.
It's raining cats dogs.,It's raining cats and dogs.
"The restaurant offers delicious food, cheap prices, and it's very cozy.","The restaurant offers delicious food, cheap prices, and a cozy atmosphere."
The player scored a goal during a soccer match.,The player scored a goal during the soccer match.
"The coffee, hot, perfect for a cold day.","The coffee was hot, which was perfect for a cold day."
The mountain is more higher than the hill.,The mountain is higher than the hill.
The passengers are boarding a plane at a gate.,The passengers are boarding the plane at the gate.
She wants to lose weight she started exercising.,"She wants to lose weight, so she started exercising."
"I have to go to the bank, get groceries, and pick up the kids from school.","I have to go to the bank, get groceries, and pick up the kids from school."
The boys went to the park and played soccer with them friends.,The boys went to the park and played soccer with their friends.
"There's no smoke without fire, but you can't make a silk purse out of a sow's ear.",There's no smoke without fire.
The couple takes a walk in the park every evening.,The couple take a walk in the park every evening.
The movie was great... best I've seen in a while.,The movie was great; it's the best I've seen in a while.
"He's driving me up the wall, but there's no smoke without fire.",He's driving me up the wall.
The museum is located at Washington.,The museum is located in Washington.
"The cookies, I baked them yesterday, are all gone.",The cookies that I baked yesterday are all gone.
"If you will not be so busy, we could have met for lunch.","If you were not so busy, we could meet for lunch."
"The computer has a virus, it's system is slow.","The computer has a virus, its system is slow."
The mechanic advised to regularly check the oil levels.,The mechanic advised to check the oil levels regularly.
"Fortune favors the bold, but good things come to those who wait.",Fortune favors the bold.
All of the flowers in this garden are perennials.,All the flowers in this garden are perennials.
"he works at google, a tech company.","He works at Google, a tech company."
I need to buy a new pair of a shoes.,I need to buy a new pair of shoes.
Could you gimme a hand with this heavy box?,Could you give me a hand with this heavy box?
The car accident happened at 7 PM in the evening.,The car accident happened at 7 PM.
The set of rules governs how the game is played.,The set of rules govern how the game is played.
The boys wants to play soccer.,The boys want to play soccer.
The conference people were discussing climate change ended yesterday.,The conference where people were discussing climate change ended yesterday.
"She's burning the candle at both ends, and it takes two to tango.",She's burning the candle at both ends.
The movie was amazing it blew my mind!,The movie was amazing; it blew my mind!
The dog chased it's tail in the park.,The dog chased its tail in the park.
The atm in the mall is out of svc.,The automated teller machine in the mall is out of service.
"My flight was del'd, so I'll arr late.","My flight was delayed, so I'll arrive late."
The company is celebrating it's 10th anniversary this year.,The company is celebrating its 10th anniversary this year.
The cast of characters in the novel was memorable.,The cast of characters in the novel were memorable.
I'm gonna head to the gym after work.,I'm going to the gym after work.
The marketing team's gonna brainstorm some new ideas.,The marketing team is going to brainstorm some new ideas.
We was playing soccer when it started to rain.,We were playing soccer when it started to rain.
The pizza is deliver to the wrong address.,The pizza was delivered to the wrong address.
"The software is powerful, and it is user-friendly.",The software is powerful and user-friendly.
The boy's parents were concerned about his frequent lying.,The boy's parents were concerned about his frequent lies.
The range of mountains stretches across the horizon.,The range of mountains stretch across the horizon.
We played soccer and basketball at the park yesterday.,We played soccer and basketball at the park yesterday.
The cake I ate it for dessert was delicious.,The cake I ate for dessert was delicious.
He was late to work because he missed his bus.,He was late to work because he missed his bus.
We need to completely revise our marketing strategy.,We need to revise our marketing strategy completely.
"the grand canyon is a must-visit destination in arizona, usa.","The Grand Canyon is a must-visit destination in Arizona, USA."
The new policy is unpopular... likely to change.,The new policy is unpopular and is likely to change.
The gardener decided to systematically water the plants.,The gardener decided to water the plants systematically.
"The employee's complaint was about unfair treatment and a toxic work environment, man.",The employee's complaint was about unfair treatment and a toxic work environment.
"After much thought, he decided to buy a new car.","After much thought, he decided to buy a new car."
"They enjoyed the concert, especialy the final performance.","They enjoyed the concert, especially the final performance."
The set of dishes in the cupboard is antique.,The set of dishes in the cupboard are antique.
He was leaning on the wall.,He was leaning against the wall.
The ice cream was melting quickly in the hot summer sun.,The ice cream was melting quickly in the hot summer sun.
The phone I dropped it in water is no longer working.,The phone that I dropped in water is no longer working.
"I'll be there ASAP, pls wait.","I'll be there as soon as possible, please wait."
The parents were worried about their child's safety on the playground.,The parents were worried about their child's safe play on the playground.
He's got a lot of irons in the fire right now.,He's currently involved in many projects.
The clothes were washed by Mary in the laundry room.,Mary washed the clothes in the laundry room.
He accidentally made the same mistake twice.,He accidentally made the same mistake.
The museum exhibits ancient artifacts is in London.,The museum that exhibits ancient artifacts is in London.
"The cake is delicious, but it is not too sweet.",The cake is delicious and not too sweet.
The flowers were planted by the gardener along the pathway blooming beautifully.,The flowers blooming beautifully were planted by the gardener along the pathway.
"in the united states, the president is elected every four years.","In the United States, the president is elected every four years."
The staff at the hotel makes sure the guests are comfortable.,The staff at the hotel make sure the guests are comfortable.
I won't listen to no more excuses.,I won't listen to any more excuses.
The old house is less bigger than the new one.,The old house is smaller than the new one.
"Out of sight, out of mind, but it's the thought that counts.","Out of sight, out of mind."
"He no longer works here, he resigned last month.",He no longer works here; he resigned last month.
"First, preheat the oven to 350°F then mix all the ingredients together.","First, preheat the oven to 350°F; then mix all the ingredients together."
"If I will learn Spanish, I would go to Spain.","If I learned Spanish, I would go to Spain."
"The water, boiling, ready for tea.",The water was boiling and ready for tea.
The email was sent by the manager containing important updates.,The email containing important updates was sent by the manager.
What time is it? he wondered.,“What time is it?” he wondered.
The artist is displaying a paintings in a gallery.,The artist is displaying paintings in the gallery.
The furniture was moved by the movers into the new house.,The movers moved the furniture into the new house.
Me and him went to the store yesterday.,He and I went to the store yesterday.
He is interested on learning Spanish.,He is interested in learning Spanish.
The tree was falling during the storm.,The tree fell during the storm.
They takes a vacation every summer.,They take a vacation every summer.
The man which bought the car was happy.,The man who bought the car was happy.
The athlete was disqualify for using performance-enhancing drugs.,The athlete was disqualified for using performance-enhancing drugs.
The group of protestors was chanting loudly.,The group of protestors were chanting loudly.
"The house is old, but it is well-maintained.",The house is old and well-maintained.
"I'm tired, but I can't sleep.",I'm tired but can't sleep.
He decided to quickly finish his homework.,He decided to finish his homework quickly.
I'm going to not eat junk food anymore.,I'm not going to eat junk food anymore.
"The car has a dent, it's value has decreased.","The car has a dent, its value has decreased."
The birds is flying south for the winter.,The birds are flying south for the winter.
The bunch of grapes has started to rot.,The bunch of grapes have started to rot.
She was very conscience of her appearance.,She was very conscious of her appearance.
The teacher is helping a students with a homework assignments.,The teacher is helping the students with their homework assignments.
"The garden has beautiful flowers, tall trees, and it's a peaceful place.","The garden has beautiful flowers, tall trees, and a peaceful atmosphere."
They didn't find no evidence at the crime scene.,They didn't find any evidence at the crime scene.
He decided to strongly voice his opinion.,He decided to voice his opinion strongly.
"The road is long, but it is scenic.",The road is long and scenic.
The article was pub'd in the NYT last wk.,The article was published in the New York Times last week.
"Eating an apple, hungry.",I was eating an apple because I was hungry.
You're comparing apples to oranges while the cat's away.,You're comparing apples to oranges.
We arrived to the party late.,We arrived at the party late.
The engineer's primary responsibility was to design the bridge.,The engineer's primary responsibility was designing the bridge.
The new phone has a better camera and a longer batery life.,The new phone has a better camera and a longer battery life.
The presentation was prepared by the team for the meeting.,The team prepared the presentation for the meeting.
"She can sing, and she can dance.",She can sing and dance.
"To efficiently use energy, turn off lights when not in use.","To use energy efficiently, turn off lights when not in use."
She are going to the store for groceries.,She is going to the store for groceries.
The presentation was informative... a bit boring.,"The presentation was informative, but it was a bit boring."
They putting all eggs one basket.,They are putting all their eggs in one basket.
The concert we went to it last night was amazing.,The concert that we went to last night was amazing.
The list of tasks to complete was overwhelming.,The list of tasks to complete were overwhelming.
The childrens played hide and seek in the backyard.,The children played hide and seek in the backyard.
The cake was shared between the children.,The cake was shared among the children.
The cat hid under the table because the dog barked.,The cat hid under the table because the dog was barking.
I will come back from work in 5 PM.,I will come back from work at 5 PM.
The committee is responsible for organizin' the event and managin' the budget.,The committee is responsible for organizing the event and managing the budget.
Many of the buildings in this city are skyscrapers.,Many buildings in this city are skyscrapers.
The company is known for it's innovations.,The company is known for its innovations.
The train is more faster than the bus.,The train is faster than the bus.
"The train, arriving, passengers boarding.","The train was arriving, and passengers were boarding."
We need think outside box.,We need to think outside the box.
That's music my ears.,That's music to my ears.
They hope to soon launch a new product.,They hope to launch a new product soon.
"I like pizza, but I don't like ice cream.",I like pizza but don't like ice cream.
He was disappoint with his exam results.,He was disappointed with his exam results.
The contract was signed by the CEO after reviewing the terms.,The CEO signed the contract after reviewing the terms.
The students were instructed to proofread their papers for avoid errors.,The students were instructed to proofread their papers to avoid errors.
"The conference will focus on technology, innovations, and discussing the future.","The conference will focus on technology, innovations, and the future."
She is traveling by train.,She is traveling on a train.
The trees was cut down.,The trees were cut down.
She is waiting the bus stop.,She is waiting at the bus stop.
He doesn't like no vegetables.,He doesn't like any vegetables.
The cake needs to be baking for 30 minutes.,The cake needs to be baked for 30 minutes.
The artist wanted to uniquely express himself.,The artist wanted to express himself uniquely.
The cluster of stars form a constellation.,The cluster of stars forms a constellation.
The dogs barks at the mail carrier.,The dogs bark at the mail carrier.
The company's sales have been decline in recent months.,The company's sales have been declining in recent months.
The government's policies has a significant impact on the economy.,The government's policies have a significant impact on the economy.
The concert was amazing I had a fantastic time!,The concert was amazing; I had a fantastic time!
The meal was prepared by the chef using fresh ingredients.,The meal using fresh ingredients was prepared by the chef.
The workers are constructing a new building.,The workers are constructing the new building.
Many of the movies on this streaming platform are critically acclaimed.,Many movies on this streaming platform are critically acclaimed.
"If she will not be so shy, she would make more friends.","If she were not so shy, she would make more friends."
The game was won by the home team in overtime.,The home team won the game in overtime.
the international space station orbits Earth every 90 minutes.,The International Space Station orbits Earth every 90 minutes.
The artist is painting a landscape with a oil paint.,The artist is painting a landscape with oil paint.
"I'll cross that bridge when I come to it, but a bird in the hand is worth two in the bush.",I'll cross that bridge when I come to it.
"Don't judge a book by its cover, but every dog has his day.",Don't judge a book by its cover.
The new model is more lighter than the previous one.,The new model is lighter than the previous one.
The stack of papers on the desk need to be sorted.,The stack of papers on the desk needs to be sorted.
The package was delivered by the mail carrier this morning.,The mail carrier delivered the package this morning.
The store I bought the shirt is having a sale.,The store where I bought the shirt is having a sale.
The scientists are researching new methods of energy production.,The scientists are researching new methods of energy production.
I need to talk with him about the project.,I need to talk to him about the project.
The interview went well... got the job.,"The interview went well, and I got the job."
The student was very enthusiastic and eager to learn.,The student was very enthusiastic to learn.
The cat had ran away.,The cat had run away.
The city is known for its historic architecture and buetiful parks.,The city is known for its historic architecture and beautiful parks.
The number of people in the room was growing.,The number of people in the room were growing.
"To properly dispose of waste, use the recycling bins.","To dispose of waste properly, use the recycling bins."
The airplane was delayed due to bad wheather conditions.,The airplane was delayed due to bad weather conditions.
She is reading a newspaper while drinking a tea.,She is reading the newspaper while drinking tea.
"He was feeling board, so he decided to read a book.","He was feeling bored, so he decided to read a book."
"The cake the oven, baking.","The cake was in the oven, baking."
They're going to visit the MOMA nxt wk.,They're going to visit the Museum of Modern Art next week.
It's blessing disguise.,It's a blessing in disguise.
I wants to learn how to cook a new recipe.,I want to learn how to cook a new recipe.
She sat beside the window.,She sat next to the window.
This is the most farthest I've ever traveled.,This is the farthest I've ever traveled.
The family is visiting a famous landmarks during a vacation.,The family is visiting famous landmarks during their vacation.
He is a young boy of 10 years old.,He is a 10-year-old boy.
"The cake's taste was amazing, but it's texture was dry.","The cake's taste was amazing, but its texture was dry."
The computer running slow today.,The computer is running slow today.
She aspires to professionally become a dancer.,She aspires to become a professional dancer.
She was very discrete about her personal life.,She was very discreet about her personal life.
"The test is difficult, but it is fair.",The test is difficult and fair.
The group of animals in the zoo attracts a lot of visitors.,The group of animals in the zoo attract a lot of visitors.
The recipe calls for two cups of sugar and a eggs.,The recipe calls for two cups of sugar and an egg.
The package was delivered to the wrong adress by mistake.,The package was delivered to the wrong address by mistake.
The company wants to ensure they're customers are satisfied.,The company wants to ensure their customers are satisfied.
"The room is messy, but it is still organized.",The room is messy yet organized.
"The performence was amazing, I enjoyed alot.","The performance was amazing, I enjoyed a lot."
No I dont want to go there.,"No, I don’t want to go there."
Some of children enjoy playing soccer.,Some children enjoy playing soccer.
The restaurant serves a wide variety of different dishes.,The restaurant serves a wide variety of dishes.
She's earrings are made of gold.,Her earrings are made of gold.
"It's not rocket science, but you can't make an omelette without breaking eggs.",It's not rocket science.
He don't know the answer.,He doesn't know the answer.
She's the kinda person who's always late.,She's the type of person who's always late.
The period of time when dinosaurs existed was long ago.,The time when dinosaurs existed was long ago.
"The movie starts at 7:00pm, we should leave soon.",The movie starts at 7:00 pm; we should leave soon.
She looked around the room.,She looked about the room.
I am eat pizza for lunch.,I am eating pizza for lunch.
"If she practiced more, she could have won the competition.","If she had practiced more, she could have won the competition."
"The store sells furnitures, electronics, and clothing.","The store sells furniture, electronics, and clothing."
The dog is chasing a ball in a park.,The dog is chasing a ball in the park.
The children were playing hide-and-seek in the backyard.,The children were playing hide-and-seek in the backyard.
He bought a ticket for a concert of his favorite band.,He bought a ticket for the concert of his favorite band.
The book was written by the author in six months.,The author wrote the book in six months.
"The goal of the project is to create an intuitive and user-friendly interface, ya know.",The goal of the project is to create an intuitive and user-friendly interface.
All of the courses offered at this university are accredited.,All the courses offered at this university are accredited.
The movie was so amazeballs that I watched it twice.,The movie was so amazing that I watched it twice.
Let's not put all our eggs in one basket out of the frying pan and into the fire.,Let's not put all our eggs in one basket.
"The city is more crowded than the countryside, but less than the beach.","The city is more crowded than the countryside, but less crowded than the beach."
"The company values innovation, collaboration, and to have a strong work ethic.","The company values innovation, collaboration, and a strong work ethic."
"The concert featured talented musicians, a fantastic light show, and selling merchandise.","The concert featured talented musicians, a fantastic light show, and sold merchandise."
please submit your application to the department of human resources.,Please submit your application to the Department of Human Resources.
"If she cooked dinner, we would have eaten at home.","If she had cooked dinner, we would have eaten at home."
The plane flew over the mountains.,The plane flew above the mountains.
do you like chocolate or vanilla?,Do you like chocolate or vanilla?
The temperature have dropped below freezing.,The temperature has dropped below freezing.
"I can't finds my keys, have you seen them?",I can't find my keys; have you seen them?
The tourists were taking pictures of the beautful waterfall.,The tourists were taking pictures of the beautiful waterfall.
"The cake was delicious, moist, and decorated beautifully.","The cake was delicious, moist, and beautifully decorated."
"She said""the party was great!"":","She said, ""The party was great!"""
Few of the students passed the exam.,Few students passed the exam.
The suitcase was found by the traveler filled with clothes.,The suitcase filled with clothes was found by the traveler.
She is an expert in a field of psychology.,She is an expert in the field of psychology.
I did not seen him at the party.,I did not see him at the party.
She must of forgotten her keys.,She must have forgotten her keys.
She is the most youngest person in the group.,She is the youngest person in the group.
The students was taking a test in the classroom.,The students were taking a test in the classroom.
They was at the concert last night.,They were at the concert last night.
The pair of jeans fit me perfectly.,The pair of jeans fits me perfectly.
The teacher was explaning a difficult concept to the students.,The teacher was explaining a difficult concept to the students.
"She her room, cleaning up.","She was in her room, cleaning up."
"She enjoys reading, to watch movies, and cooking.","She enjoys reading, watching movies, and cooking."
She is speak at the conference tomorrow.,She is speaking at the conference tomorrow.
All of the computers in this lab are high-performance machines.,All the computers in this lab are high-performance machines.
"The game requires strategy, quick thinking, and to work as a team.","The game requires strategy, quick thinking, and teamwork."
This is the book I told you about.,This is the book that I told you about.
The dress she wore it to the party was stunning.,The dress that she wore to the party was stunning.
"If they went to the store, they will buy some groceries.","If they went to the store, they would buy some groceries."
The CPU and GPU of the sys are quite powerful.,The central processing unit and graphics processing unit of the system are quite powerful.
The vase is placed on the table.,The vase is placed upon the table.
We was walking to the store when it started raining.,We were walking to the store when it started raining.
"The store offers a wide selection, affordable prices, and the staff is helpful.","The store offers a wide selection, affordable prices, and helpful staff."
"The painting is old, but it is valuable.",The painting is old and valuable.
"She is shy, but she is friendly.",She is shy and friendly.
She always over-exaggerates her problems all the time.,She always exaggerates her problems.
"To successfully complete the project, we need more resources.","To complete the project successfully, we need more resources."
His speech was most more compelling than hers.,His speech was more compelling than hers.
can you pick up some coca-cola from the store?,Can you pick up some Coca-Cola from the store?
The concert was cancelled due the rain.,The concert was cancelled due to the rain.
The engine is make a strange noise.,The engine is making a strange noise.
The birds sings in the morning.,The birds sing in the morning.
The journey is more longer by train than by car.,The journey is longer by train than by car.
He lost his wallet and now he has no moneys.,He lost his wallet and now he has no money.
The meeting will be held at the office has a large conference room.,The meeting will be held at the office that has a large conference room.
The farmer has plant the seeds in the field.,The farmer has planted the seeds in the field.
"We went to the beach, it was a beautiful day!",We went to the beach; it was a beautiful day!
She took the keys out her pocket.,She took the keys out of her pocket.
She excepted his offer with gratitude.,She accepted his offer with gratitude.
"Can you believe it, I won the lottery!",Can you believe it? I won the lottery!
The car need to be repaired.,The car needs to be repaired.
"The beach, crowded, people sunbathing.","The beach was crowded, with people sunbathing."
The soccer player was awarded the trophy for his outstanding performance filled with excitement.,The soccer player filled with excitement was awarded the trophy for his outstanding performance.
The train arrives on 3 PM.,The train arrives at 3 PM.
The company launch a new product next month.,The company will launch a new product next month.
I do not likes to eat vegetables.,I do not like to eat vegetables.
The group of students works on the project together.,The group of students work on the project together.
The car is parked in front the house.,The car is parked in front of the house.
He run more faster than me.,He runs faster than me.
The package was delivered by a mail carrier.,The package was delivered by the mail carrier.
"Can you turn off a television, please?","Can you turn off the television, please?"
He climbed up to the top of the mountain peak.,He climbed to the top of the mountain peak.
The car I sold it last year was my favorite.,The car that I sold last year was my favorite.
"He the gym, exercising.","He was at the gym, exercising."
The most earliest bird catches the worm.,The early bird catches the worm.
He doesn't read no newspapers.,He doesn't read any newspapers.
"My favorite activities are hiking, swimming, and to travel.","My favorite activities are hiking, swimming, and traveling."
The team went back drawing board.,The team went back to the drawing board.
You're comparing apples oranges.,You're comparing apples to oranges.
The ocean is fill with various species of fish and mammals.,The ocean is filled with various species of fish and mammals.
The car is parked in a garage.,The car is parked in the garage.
"I tried calling you, but you didn't answer, your phone.","I tried calling you, but you didn't answer your phone."
The doc will perform an MRI to check for any issues.,The doctor will perform a magnetic resonance imaging to check for any issues.
The restaurant offers a wide varity of dishes.,The restaurant offers a wide variety of dishes.
"She has not been studying for her test, so she are unprepared.","She has not been studying for her test, so she is unprepared."
The teacher gave us alot of homework.,The teacher gave us a lot of homework.
Don't count chickens they hatch.,Don't count your chickens before they hatch.
The lesson was taught by the instructor with a unique approach.,The lesson with a unique approach was taught by the instructor.
The scientific community is workin' on finding a cure for the disease.,The scientific community is working on finding a cure for the disease.
The children has fun at the amusement park.,The children had fun at the amusement park.
The teacher was very patient and understanding with the students.,The teacher was very patient with the students.
The train was delay due to bad weather.,The train was delayed due to bad weather.
i'm reading harry potter and the philosopher's stone.,I'm reading Harry Potter and the Philosopher's Stone.
The audience is waiting for a show to start.,The audience is waiting for the show to start.
All of the trees in this park are native species.,All the trees in this park are native species.
I found the wallet under the sofa.,I found the wallet beneath the sofa.
"The painting features vibrant colors, interesting shapes, and it has a unique texture.","The painting features vibrant colors, interesting shapes, and a unique texture."
Many of cars are electric nowadays.,Many cars are electric nowadays.
"The early bird catches the worm, but that's the way the cookie crumbles.",The early bird catches the worm.
Ain't no way I'm going to that party.,There's no way I'm going to that party.
The audience was clapping their hands enthusiastically.,The audience were clapping their hands enthusiastically.
He swims in the pool every day last summer.,He swam in the pool every day last summer.
The shelves was filled with books.,The shelves were filled with books.
Please pass me an salt shaker.,Please pass me the salt shaker.
The player scores a goal during the match.,The player scored a goal during the match.
"He can play the guitar, the piano, and the drumbs.","He can play the guitar, the piano, and the drums."
The party was organize by the event planner.,The party was organized by the event planner.
The manager carefully analyzed and examined the report.,The manager carefully analyzed the report.
I didn't take no pictures on my trip.,I didn't take any pictures on my trip.
The team of writers collaborate on the script.,The team of writers collaborates on the script.
The group of tourists takes pictures of the monument.,The group of tourists take pictures of the monument.
The house was painted by the workers last week.,The workers painted the house last week.
"The wind, strong, trees swaying.","The wind was strong, and the trees were swaying."
The pair of shoes I bought yesterday was too tight.,The pair of shoes I bought yesterday were too tight.
The birds was flying south for the winter.,The birds were flying south for the winter.
The new law will be eff from Jan 1st.,The new law will be effective from January 1st.
I won't accept no apologies.,I won't accept any apologies.
The movie was very interesting and full of suspence.,The movie was very interesting and full of suspense.
The weather is nice... perfect for a picnic.,"The weather is nice, making it perfect for a picnic."
The project manager assigned tasks to the team members based on their skills and there availability.,The project manager assigned tasks to the team members based on their skills and their availability.
The pair of socks has holes in them.,The pair of socks have holes in them.
The scientist discovered a new species of a plant.,The scientist discovered a new species of plant.
The chef cooked a delicious meal for the guests.,The chef cooked a delicious meal for the guests.
"The meeting will involve discussing the budget, reviewing goals, and to plan future events.","The meeting will involve discussing the budget, reviewing goals, and planning future events."
"You can lead a horse to water, but you can't make it drink with a silver spoon.","You can lead a horse to water, but you can't make it drink."
All of the phones in this store are the latest models.,All the phones in this store are the latest models.
The project is complete by the deadline.,The project was completed by the deadline.
"To succeed in life, one must be persistent, willing to learn, and taking risks.","To succeed in life, one must be persistent, willing to learn, and take risks."
He was very confidant in his abilities.,He was very confident in his abilities.
The movie was very funny and humorous.,The movie was very funny.
The results of the experiments was inconclusive.,The results of the experiments were inconclusive.
The store sells a variety of clothes and shoes.,The store sells a variety of clothing and shoes.
She is going to shopping after work.,She is going shopping after work.
"The mountain's peak is covered in snow, it's view is breathtaking.","The mountain's peak is covered in snow, its view is breathtaking."
Many of the exercises in this workout routine are challenging.,Many exercises in this workout routine are challenging.
The tickets were bought by Jane for the concert.,Jane bought the tickets for the concert.
The doc prescribed me NSAIDs for my pain.,The doctor prescribed me nonsteroidal anti-inflammatory drugs for my pain.
"The course covers topics such as programming, web development, and to create mobile applications.","The course covers topics such as programming, web development, and creating mobile applications."
"The software has a bug, it's performance is slow.","The software has a bug, its performance is slow."
She is a good singer she has a beautiful voice.,She is a good singer because she has a beautiful voice.
"I enjoy reading, and I enjoy writing too.",I enjoy reading and writing too.
She was sitting on the chair.,She was sitting in the chair.
The cake is decorated with a flowers.,The cake is decorated with flowers.
The car it's making a strange noise.,The car is making a strange noise.
The musician is playing a piano in a concert hall.,The musician is playing the piano in a concert hall.
All of the paintings in this gallery are modern art.,All the paintings in this gallery are modern art.
The committee have decided on a course of action.,The committee has decided on a course of action.
I'm tired... need to finish this work.,"I'm tired, but I need to finish this work."
she is studying at the university of cambridge in the united kingdom.,She is studying at the University of Cambridge in the United Kingdom.
The tourists are visiting a famous monument.,The tourists are visiting the famous monument.
His jokes are more funnier than hers.,His jokes are funnier than hers.
"The game challenges players to solve puzzles, explore new worlds, and to defeat powerful enemies.","The game challenges players to solve puzzles, explore new worlds, and defeat powerful enemies."
The dog was dig a hole in the yard.,The dog was digging a hole in the yard.
The baby cry when it's hungry.,The baby cries when it's hungry.
It are important to wash your hands regularly.,It is important to wash your hands regularly.
She's apple of her father's eye.,She's the apple of her father's eye.
The painting was hang on the wall above the fireplace.,The painting was hung on the wall above the fireplace.
The suspect will be trialed in court next month.,The suspect will be tried in court next month.
The new employee is very competent and capable.,The new employee is very competent.
I won't do nothing to help him.,I won't do anything to help him.
I goes to the store everyday.,I go to the store everyday.
"If it's sunny outside, we would go to the beach.","If it's sunny outside, we will go to the beach."
This is the most latest news I've heard.,This is the latest news I've heard.
The new software is most more user-friendly than the old one.,The new software is more user-friendly than the old one.
He was very honest and truthful when he spoke.,He was very honest when he spoke.
The package is deliver yesterday.,The package was delivered yesterday.
The CEO urged the employees to be more proactive and step up their game.,The CEO urged the employees to be more proactive and improve their performance.
the mona lisa is a famous painting by leonardo da vinci.,The Mona Lisa is a famous painting by Leonardo da Vinci.
"Plz send me the PDF, not the DOC file.","Please send me the Portable Document Format, not the Word Document file."
The baby was carried by the mother wrapped in a soft blanket.,The baby wrapped in a soft blanket was carried by the mother.
I love music I listen to it all the time.,"I love music, and I listen to it all the time."
The pizza is divided into individual slices for each person.,The pizza is divided into slices for each person.
I ain't got no idea about how this happened.,I have no idea how this happened.
The new software is easy to use... efficient.,The new software is easy to use and efficient.
She does not has any siblings.,She does not have any siblings.
The car needs repaired before we can drive it.,The car needs to be repaired before we can drive it.
The recipe calls for 1tsp of salt and 2tbsp of sugar.,The recipe calls for 1 teaspoon of salt and 2 tablespoons of sugar.
"The report highlights the need for investment, infrastructure improvements, and to create jobs.","The report highlights the need for investment, infrastructure improvements, and job creation."
He needs learn to cook.,He needs to learn to cook.
The pile of clothes need to be washed.,The pile of clothes needs to be washed.
can you help me with my homework?,Can you help me with my homework?
The artwork displayed at the exhibition was simply breathtakin'.,The artwork displayed at the exhibition was simply breathtaking.
She traveled to many different various countries.,She traveled to many countries.
She has bake cookies for the bake sale.,She has baked cookies for the bake sale.
He's barking up the wrong tree at the end of the day.,He's barking up the wrong tree.
"The city's infrastructure needs improvement, it's roads are damaged.","The city's infrastructure needs improvement, its roads are damaged."
Can you hand me a book about a science fiction?,Can you hand me a book about science fiction?
The variety of plants in the greenhouse needs special care.,The variety of plants in the greenhouse need special care.
The new employee is most efficient than the previous one.,The new employee is more efficient than the previous one.
He is reading a book on the library.,He is reading a book in the library.
It's more colder in Canada than it is in California.,It's colder in Canada than it is in California.
"The event will feature live music, delicious food, and you can participate in games.","The event will feature live music, delicious food, and games for participation."
The company I work for it has a great benefits package.,The company for which I work has a great benefits package.
He do not want to go to the dentist.,He does not want to go to the dentist.
The phone is old... still works well.,"The phone is old, but it still works well."
I'm sorry to inform you that the event's been canceled due to unforeseen circumstances.,I regret to inform you that the event has been canceled due to unforeseen circumstances.
They watches the movie together.,They watch the movie together.
The teacher gave the students they homework.,The teacher gave the students their homework.
Your computer has a virus and needs to be de-fragmented.,Your computer has a virus and needs to be defragmented.
The family is having a dinner at a restaurant.,The family is having dinner at the restaurant.
"Blood is thicker than water, but you can't choose your family.",Blood is thicker than water.
The meeting is scheduled on 10 AM.,The meeting is scheduled at 10 AM.
The invitation was accepted by Lisa to attend the event.,Lisa accepted the invitation to attend the event.
The table was set by Emily for dinner.,Emily set the table for dinner.
You can't judge book cover.,You can't judge a book by its cover.
The book's success was due to the author's unique write style.,The book's success was due to the author's unique writing style.
The cake needs to be frosted after it cools down.,The cake needs to be frosted after it cools down.
"The car is available in three colors... red, blue, and green.","The car is available in three colors: red, blue, and green."
The new bldg will be LEED certified.,The new building will be Leadership in Energy and Environmental Design certified.
"The seminar covers time management, goal setting, and to develop leadership skills.","The seminar covers time management, goal setting, and leadership skill development."
The mother told her children that they can play outside once they've finished them homework.,The mother told her children that they can play outside once they've finished their homework.
The car needs to be wash before we go.,The car needs to be washed before we go.
She loves reading she reads every night.,"She loves reading, so she reads every night."
The park I walk my dog is just down the street.,The park where I walk my dog is just down the street.
"Keep your friends close and your enemies closer, but the squeaky wheel gets the grease.",Keep your friends close and your enemies closer.
He complimented her on her beautiful hair.,He complimented her on her beautiful hair.
The baby was crying beacuse it was hungry.,The baby was crying because it was hungry.
Some of the video games released in the past decade have become classics.,Some video games released in the past decade have become classics.
we celebrate christmas on december 25th.,We celebrate Christmas on December 25th.
"If she will be more organized, she could have finished the project.","If she were more organized, she could finish the project."
"If you had told me, I am going to help you.","If you had told me, I would have helped you."
"The book discusses history, politics, and it provides cultural insights.","The book discusses history, politics, and provides cultural insights."
"The vacation is relaxing, but it is also adventurous.",The vacation is relaxing and adventurous.
The train goes through the tunnel.,The train goes across the tunnel.
"the eiffel tower is a popular tourist attraction in paris, france.","The Eiffel Tower is a popular tourist attraction in Paris, France."
I won't tell nobody your secret.,I won't tell anybody your secret.
The book was written from a famous author.,The book was written by a famous author.
The company's employees attended a workshop to improve they're skills.,The company's employees attended a workshop to improve their skills.
I my phone in my bag.,I left my phone in my bag.
He had a hard time choosing between the two options.,He had a hard time choosing between the two options.
The broken teacher's window should be fixed.,The teacher's broken window should be fixed.
The chef prepared the dish and presented it to the customer with they're compliments.,The chef prepared the dish and presented it to the customer with their compliments.
He hasn't read not a single book.,He hasn't read a single book.
"The team needs to research, organize, and presenting their findings.","The team needs to research, organize, and present their findings."
They don't have no pets at home.,They don't have any pets at home.
She very tired after work.,She was very tired after work.
